geo_id,sqft,usage,usage_med,usage_med_sqft,usetype,vintage_id,year,name
cities_104,61568,masked,masked,masked,condo,4,2016,santa paula
cities_104,146788,masked,masked,masked,industrial,1,2016,santa paula
cities_104,274792,masked,masked,masked,industrial,2,2016,santa paula
cities_104,397821,masked,masked,masked,industrial,3,2016,santa paula
cities_104,307043,masked,masked,masked,industrial,4,2016,santa paula
cities_104,3250,masked,masked,masked,institutional,1,2016,santa paula
cities_104,15047,masked,masked,masked,institutional,2,2016,santa paula
cities_104,9870,masked,masked,masked,institutional,3,2016,santa paula
cities_104,473,masked,masked,masked,institutional,4,2016,santa paula
cities_104,458286,1421177.0000,4879.0000,2.7293,multi_family,1,2016,santa paula
cities_104,609904,2449044.0000,7426.0000,3.4514,multi_family,2,2016,santa paula
cities_104,159786,578531.0000,16857.0000,3.4363,multi_family,3,2016,santa paula
cities_104,430023,755862.0000,9727.0000,2.5514,multi_family,4,2016,santa paula
cities_104,25748,masked,masked,masked,other,1,2016,santa paula
cities_104,11441,masked,masked,masked,other,2,2016,santa paula
cities_104,NA,NA,NA,NA,other,3,2016,santa paula
cities_104,50698,masked,masked,masked,other,4,2016,santa paula
cities_104,2440,masked,masked,masked,residential_other,1,2016,santa paula
cities_104,1950,masked,masked,masked,residential_other,2,2016,santa paula
cities_104,185330,547874.0000,3920.0000,2.6994,residential_other,3,2016,santa paula
cities_104,7523,masked,masked,masked,residential_other,4,2016,santa paula
cities_104,NA,masked,masked,masked,residential_uncat,1,2016,santa paula
cities_104,NA,masked,masked,masked,residential_uncat,2,2016,santa paula
cities_104,NA,NA,NA,NA,residential_uncat,3,2016,santa paula
cities_104,NA,NA,NA,NA,residential_uncat,4,2016,santa paula
cities_104,1830817,7048611.0000,4760.5000,3.7164,res_total,1,2016,santa paula
cities_104,4049947,16232206.0000,5169.0000,3.6819,res_total,2,2016,santa paula
cities_104,1388207,5222345.0000,4548.0000,3.4680,res_total,3,2016,santa paula
cities_104,1274630,3248331.0000,5811.0000,2.8995,res_total,4,2016,santa paula
cities_104,1370091,5621035.0000,4727.0000,3.9332,single_family,1,2016,santa paula
cities_104,3288814,12532118.0000,5042.0000,3.6082,single_family,2,2016,santa paula
cities_104,689771,2515463.0000,4893.0000,3.5237,single_family,3,2016,santa paula
cities_104,775516,2251445.0000,5938.0000,2.8511,single_family,4,2016,santa paula
cities_104,NA,NA,NA,NA,uncat,1,2016,santa paula
cities_104,NA,NA,NA,NA,uncat,2,2016,santa paula
cities_104,NA,NA,NA,NA,uncat,3,2016,santa paula
cities_104,NA,NA,NA,NA,uncat,4,2016,santa paula
cities_105,NA,NA,NA,NA,agriculture,1,2016,simi valley
cities_105,NA,NA,NA,NA,agriculture,2,2016,simi valley
cities_105,NA,NA,NA,NA,agriculture,3,2016,simi valley
cities_105,5428,masked,masked,masked,agriculture,4,2016,simi valley
cities_105,30857,masked,masked,masked,commercial,1,2016,simi valley
cities_105,1040517,15306333.0000,46292.0000,10.5134,commercial,2,2016,simi valley
cities_105,1570841,36339581.0000,164001.0000,15.8656,commercial,3,2016,simi valley
cities_105,1086253,masked,masked,masked,commercial,4,2016,simi valley
