geo_id,sqft,usage,usage_med,usage_med_sqft,usetype,year,name,solar_potential,pop,usage_percap,source,vintage_id,income_quintile,income_range,sqft_id,pop_sqmi,med_income,pct_own,pct_rent,enviroscreen_tracts,sqmi,solar_pot,net_solar_pot,count,query,postal_code,city,county,neighborhood,lat,lng
cities_101,233159.0,1111459.0000,5324,4.2741,condo,2016,fillmore,,,,usage_bld_kwh,,,,,,,,,,,,,,"fillmore, CA",93015,Fillmore,Ventura County,,34.3991639,-118.918154
cities_101,235373.0,masked,masked,masked,industrial,2016,fillmore,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"fillmore, CA",93015,Fillmore,Ventura County,,34.3991639,-118.918154
cities_101,16024.0,masked,masked,masked,institutional,2016,fillmore,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"fillmore, CA",93015,Fillmore,Ventura County,,34.3991639,-118.918154
cities_101,694644.0,2834267.0000,8111,4.1491,multi_family,2016,fillmore,,,,usage_bld_kwh,,,,,,,,,,,,,,"fillmore, CA",93015,Fillmore,Ventura County,,34.3991639,-118.918154
cities_101,47370.0,masked,masked,masked,other,2016,fillmore,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"fillmore, CA",93015,Fillmore,Ventura County,,34.3991639,-118.918154
cities_101,46235.0,2683067.0000,7223.5,4.1899,residential_other,2016,fillmore,,,,usage_bld_kwh,,,,,,,,,,,,,,"fillmore, CA",93015,Fillmore,Ventura County,,34.3991639,-118.918154
cities_101,0.0,815363.0000,,,residential_uncat,2016,fillmore,,,,usage_bld_kwh,,,,,,,,,,,,,,"fillmore, CA",93015,Fillmore,Ventura County,,34.3991639,-118.918154
cities_101,5441259.0,26281606.0000,6218,4.1241,res_total,2016,fillmore,,15203.0,1728.7118,usage_bld_kwh,,,,,,,,,,,,,,"fillmore, CA",93015,Fillmore,Ventura County,,34.3991639,-118.918154
cities_101,4467221.0,18837450.0000,6170,4.0982,single_family,2016,fillmore,,,,usage_bld_kwh,,,,,,,,,,,,,,"fillmore, CA",93015,Fillmore,Ventura County,,34.3991639,-118.918154
cities_101,0.0,masked,masked,masked,uncat,2016,fillmore,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"fillmore, CA",93015,Fillmore,Ventura County,,34.3991639,-118.918154
cities_102,0.0,masked,masked,masked,agriculture,2016,moorpark,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"moorpark, CA",93021,Moorpark,Ventura County,,34.285558,-118.8820414
cities_102,1422838.0,33270932.0000,92260,11.1069,commercial,2016,moorpark,,,,usage_bld_kwh,,,,,,,,,,,,,,"moorpark, CA",93021,Moorpark,Ventura County,,34.285558,-118.8820414
cities_102,1702345.0,7755670.5000,5209.5,3.8314,condo,2016,moorpark,,,,usage_bld_kwh,,,,,,,,,,,,,,"moorpark, CA",93021,Moorpark,Ventura County,,34.285558,-118.8820414
cities_102,2967672.0,masked,masked,masked,industrial,2016,moorpark,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"moorpark, CA",93021,Moorpark,Ventura County,,34.285558,-118.8820414
cities_102,135327.0,masked,masked,masked,institutional,2016,moorpark,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"moorpark, CA",93021,Moorpark,Ventura County,,34.285558,-118.8820414
cities_102,469043.0,2736859.0000,5460,2.9417,multi_family,2016,moorpark,,,,usage_bld_kwh,,,,,,,,,,,,,,"moorpark, CA",93021,Moorpark,Ventura County,,34.285558,-118.8820414
cities_102,41651.0,masked,masked,masked,other,2016,moorpark,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"moorpark, CA",93021,Moorpark,Ventura County,,34.285558,-118.8820414
cities_102,200272.0,1196353.0000,5348,4.3777,residential_other,2016,moorpark,,,,usage_bld_kwh,,,,,,,,,,,,,,"moorpark, CA",93021,Moorpark,Ventura County,,34.285558,-118.8820414
cities_102,0.0,3795361.0000,,,residential_uncat,2016,moorpark,,,,usage_bld_kwh,,,,,,,,,,,,,,"moorpark, CA",93021,Moorpark,Ventura County,,34.285558,-118.8820414
cities_102,20760410.0,79101065.5000,6816,3.4795,res_total,2016,moorpark,,35033.0,2257.9016,usage_bld_kwh,,,,,,,,,,,,,,"moorpark, CA",93021,Moorpark,Ventura County,,34.285558,-118.8820414
cities_102,18388750.0,63616822.0000,7123,3.4176,single_family,2016,moorpark,,,,usage_bld_kwh,,,,,,,,,,,,,,"moorpark, CA",93021,Moorpark,Ventura County,,34.285558,-118.8820414
cities_102,0.0,masked,masked,masked,uncat,2016,moorpark,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"moorpark, CA",93021,Moorpark,Ventura County,,34.285558,-118.8820414
cities_103,5215.0,masked,masked,masked,agriculture,2016,ojai,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"ojai, CA",93023,Ojai,Ventura County,,34.4480495,-119.242889
cities_103,645637.0,16020323.0000,22717,7.9742,commercial,2016,ojai,,,,usage_bld_kwh,,,,,,,,,,,,,,"ojai, CA",93023,Ojai,Ventura County,,34.4480495,-119.242889
cities_103,208769.0,816347.5000,4726,3.1562,condo,2016,ojai,,,,usage_bld_kwh,,,,,,,,,,,,,,"ojai, CA",93023,Ojai,Ventura County,,34.4480495,-119.242889
cities_103,228418.0,masked,masked,masked,industrial,2016,ojai,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"ojai, CA",93023,Ojai,Ventura County,,34.4480495,-119.242889
cities_103,59519.0,2422109.0000,27567.5,35.4625,institutional,2016,ojai,,,,usage_bld_kwh,,,,,,,,,,,,,,"ojai, CA",93023,Ojai,Ventura County,,34.4480495,-119.242889
cities_103,450580.0,1888664.0000,8638,3.7559,multi_family,2016,ojai,,,,usage_bld_kwh,,,,,,,,,,,,,,"ojai, CA",93023,Ojai,Ventura County,,34.4480495,-119.242889
cities_103,17254.0,253439.0000,7215,,other,2016,ojai,,,,usage_bld_kwh,,,,,,,,,,,,,,"ojai, CA",93023,Ojai,Ventura County,,34.4480495,-119.242889
cities_103,51173.0,masked,masked,masked,residential_other,2016,ojai,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"ojai, CA",93023,Ojai,Ventura County,,34.4480495,-119.242889
cities_103,0.0,masked,masked,masked,residential_uncat,2016,ojai,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"ojai, CA",93023,Ojai,Ventura County,,34.4480495,-119.242889
cities_103,4291261.0,19522502.0000,6061,3.7774,res_total,2016,ojai,,7558.0,2583.0249,usage_bld_kwh,,,,,,,,,,,,,,"ojai, CA",93023,Ojai,Ventura County,,34.4480495,-119.242889
cities_103,3580739.0,14852930.5000,6019,3.8360,single_family,2016,ojai,,,,usage_bld_kwh,,,,,,,,,,,,,,"ojai, CA",93023,Ojai,Ventura County,,34.4480495,-119.242889
cities_103,0.0,masked,masked,masked,uncat,2016,ojai,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"ojai, CA",93023,Ojai,Ventura County,,34.4480495,-119.242889
cities_104,32674.0,masked,masked,masked,agriculture,2016,santa paula,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"santa paula, CA",93060,Santa Paula,Ventura County,,34.3541659,-119.0592705
cities_104,928783.0,21920705.0000,15272.5,6.0034,commercial,2016,santa paula,,,,usage_bld_kwh,,,,,,,,,,,,,,"santa paula, CA",93060,Santa Paula,Ventura County,,34.3541659,-119.0592705
cities_104,564167.0,2778479.0000,4698,4.4466,condo,2016,santa paula,,,,usage_bld_kwh,,,,,,,,,,,,,,"santa paula, CA",93060,Santa Paula,Ventura County,,34.3541659,-119.0592705
cities_104,1209892.0,24007666.0000,13174,2.8500,industrial,2016,santa paula,,,,usage_bld_kwh,,,,,,,,,,,,,,"santa paula, CA",93060,Santa Paula,Ventura County,,34.3541659,-119.0592705
cities_104,104233.0,3853824.0000,8852.5,6.5238,institutional,2016,santa paula,,,,usage_bld_kwh,,,,,,,,,,,,,,"santa paula, CA",93060,Santa Paula,Ventura County,,34.3541659,-119.0592705
cities_104,2108768.0,7332401.0000,6312,3.1836,multi_family,2016,santa paula,,,,usage_bld_kwh,,,,,,,,,,,,,,"santa paula, CA",93060,Santa Paula,Ventura County,,34.3541659,-119.0592705
cities_104,103831.0,381407.0000,3151,3.1022,other,2016,santa paula,,,,usage_bld_kwh,,,,,,,,,,,,,,"santa paula, CA",93060,Santa Paula,Ventura County,,34.3541659,-119.0592705
cities_104,212201.0,2760586.0000,3980,2.8274,residential_other,2016,santa paula,,,,usage_bld_kwh,,,,,,,,,,,,,,"santa paula, CA",93060,Santa Paula,Ventura County,,34.3541659,-119.0592705
cities_104,0.0,3856801.5000,,,residential_uncat,2016,santa paula,,,,usage_bld_kwh,,,,,,,,,,,,,,"santa paula, CA",93060,Santa Paula,Ventura County,,34.3541659,-119.0592705
cities_104,9079223.0,39883083.5000,5027,3.5698,res_total,2016,santa paula,,29990.0,1329.8794,usage_bld_kwh,,,,,,,,,,,,,,"santa paula, CA",93060,Santa Paula,Ventura County,,34.3541659,-119.0592705
cities_104,6194087.0,23154816.0000,4983.5,3.5695,single_family,2016,santa paula,,,,usage_bld_kwh,,,,,,,,,,,,,,"santa paula, CA",93060,Santa Paula,Ventura County,,34.3541659,-119.0592705
cities_104,0.0,masked,masked,masked,uncat,2016,santa paula,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"santa paula, CA",93060,Santa Paula,Ventura County,,34.3541659,-119.0592705
cities_105,12574.0,masked,masked,masked,agriculture,2016,simi valley,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"simi valley, CA",,Simi Valley,Ventura County,,34.2694474,-118.781482
cities_105,4549728.0,158779099.0000,101659,15.5227,commercial,2016,simi valley,,,,usage_bld_kwh,,,,,,,,,,,,,,"simi valley, CA",,Simi Valley,Ventura County,,34.2694474,-118.781482
cities_105,5352497.0,27666305.0000,5936.5,4.4933,condo,2016,simi valley,,,,usage_bld_kwh,,,,,,,,,,,,,,"simi valley, CA",,Simi Valley,Ventura County,,34.2694474,-118.781482
cities_105,7021007.0,85146421.0000,91631,4.8920,industrial,2016,simi valley,,,,usage_bld_kwh,,,,,,,,,,,,,,"simi valley, CA",,Simi Valley,Ventura County,,34.2694474,-118.781482
cities_105,422614.0,22956564.0000,74142.5,38.1907,institutional,2016,simi valley,,,,usage_bld_kwh,,,,,,,,,,,,,,"simi valley, CA",,Simi Valley,Ventura County,,34.2694474,-118.781482
cities_105,3994174.0,22978930.5000,19557,5.0547,multi_family,2016,simi valley,,,,usage_bld_kwh,,,,,,,,,,,,,,"simi valley, CA",,Simi Valley,Ventura County,,34.2694474,-118.781482
cities_105,95488.0,masked,masked,masked,other,2016,simi valley,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"simi valley, CA",,Simi Valley,Ventura County,,34.2694474,-118.781482
cities_105,176580.0,masked,masked,masked,residential_other,2016,simi valley,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"simi valley, CA",,Simi Valley,Ventura County,,34.2694474,-118.781482
cities_105,0.0,masked,masked,masked,residential_uncat,2016,simi valley,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"simi valley, CA",,Simi Valley,Ventura County,,34.2694474,-118.781482
cities_105,68974626.0,324787061.1667,7672,4.2754,res_total,2016,simi valley,,115258.0,2817.9134,usage_bld_kwh,,,,,,,,,,,,,,"simi valley, CA",,Simi Valley,Ventura County,,34.2694474,-118.781482
cities_105,59451375.0,258580203.6667,7898,4.2436,single_family,2016,simi valley,,,,usage_bld_kwh,,,,,,,,,,,,,,"simi valley, CA",,Simi Valley,Ventura County,,34.2694474,-118.781482
cities_105,0.0,5270116.0000,,,uncat,2016,simi valley,,,,usage_bld_kwh,,,,,,,,,,,,,,"simi valley, CA",,Simi Valley,Ventura County,,34.2694474,-118.781482
cities_106,,,,,agriculture,2016,thousand oaks,,,,usage_bld_kwh,,,,,,,,,,,,,,"thousand oaks, CA",,Thousand Oaks,Ventura County,,34.1761133,-118.8487793
cities_106,8115057.0,253726147.5000,95552,15.7598,commercial,2016,thousand oaks,,,,usage_bld_kwh,,,,,,,,,,,,,,"thousand oaks, CA",,Thousand Oaks,Ventura County,,34.1761133,-118.8487793
cities_106,12064505.0,50503632.5000,5528,3.7518,condo,2016,thousand oaks,,,,usage_bld_kwh,,,,,,,,,,,,,,"thousand oaks, CA",,Thousand Oaks,Ventura County,,34.1761133,-118.8487793
cities_106,5949073.0,masked,masked,masked,industrial,2016,thousand oaks,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"thousand oaks, CA",,Thousand Oaks,Ventura County,,34.1761133,-118.8487793
cities_106,490657.0,masked,masked,masked,institutional,2016,thousand oaks,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"thousand oaks, CA",,Thousand Oaks,Ventura County,,34.1761133,-118.8487793
cities_106,5368343.0,32704285.8333,16860,4.9421,multi_family,2016,thousand oaks,,,,usage_bld_kwh,,,,,,,,,,,,,,"thousand oaks, CA",,Thousand Oaks,Ventura County,,34.1761133,-118.8487793
cities_106,82552.0,20260035.0000,7773.5,,other,2016,thousand oaks,,,,usage_bld_kwh,,,,,,,,,,,,,,"thousand oaks, CA",,Thousand Oaks,Ventura County,,34.1761133,-118.8487793
cities_106,154290.0,13400649.0000,9734,5.8835,residential_other,2016,thousand oaks,,,,usage_bld_kwh,,,,,,,,,,,,,,"thousand oaks, CA",,Thousand Oaks,Ventura County,,34.1761133,-118.8487793
cities_106,0.0,4564714.3333,,,residential_uncat,2016,thousand oaks,,,,usage_bld_kwh,,,,,,,,,,,,,,"thousand oaks, CA",,Thousand Oaks,Ventura County,,34.1761133,-118.8487793
cities_106,86373906.0,368184276.6667,7226,3.6798,res_total,2016,thousand oaks,,129588.0,2841.1911,usage_bld_kwh,,,,,,,,,,,,,,"thousand oaks, CA",,Thousand Oaks,Ventura County,,34.1761133,-118.8487793
cities_106,68786768.0,267010995.0000,7730,3.6571,single_family,2016,thousand oaks,,,,usage_bld_kwh,,,,,,,,,,,,,,"thousand oaks, CA",,Thousand Oaks,Ventura County,,34.1761133,-118.8487793
cities_106,0.0,masked,masked,masked,uncat,2016,thousand oaks,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"thousand oaks, CA",,Thousand Oaks,Ventura County,,34.1761133,-118.8487793
cities_107,,,,,agriculture,2016,port hueneme,,,,usage_bld_kwh,,,,,,,,,,,,,,"port hueneme, CA",,Port Hueneme,Ventura County,,34.1477829,-119.1951074
cities_107,575432.0,15695724.0000,47035,4.9415,commercial,2016,port hueneme,,,,usage_bld_kwh,,,,,,,,,,,,,,"port hueneme, CA",,Port Hueneme,Ventura County,,34.1477829,-119.1951074
cities_107,3564742.0,16394634.5000,4550,3.8587,condo,2016,port hueneme,,,,usage_bld_kwh,,,,,,,,,,,,,,"port hueneme, CA",,Port Hueneme,Ventura County,,34.1477829,-119.1951074
cities_107,163847.0,masked,masked,masked,industrial,2016,port hueneme,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"port hueneme, CA",,Port Hueneme,Ventura County,,34.1477829,-119.1951074
cities_107,61299.0,masked,masked,masked,institutional,2016,port hueneme,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"port hueneme, CA",,Port Hueneme,Ventura County,,34.1477829,-119.1951074
cities_107,832030.0,2483542.5000,5456,2.5836,multi_family,2016,port hueneme,,,,usage_bld_kwh,,,,,,,,,,,,,,"port hueneme, CA",,Port Hueneme,Ventura County,,34.1477829,-119.1951074
cities_107,39035.0,masked,masked,masked,other,2016,port hueneme,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"port hueneme, CA",,Port Hueneme,Ventura County,,34.1477829,-119.1951074
cities_107,8616.0,masked,masked,masked,residential_other,2016,port hueneme,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"port hueneme, CA",,Port Hueneme,Ventura County,,34.1477829,-119.1951074
cities_107,0.0,masked,masked,masked,residential_uncat,2016,port hueneme,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"port hueneme, CA",,Port Hueneme,Ventura County,,34.1477829,-119.1951074
cities_107,7722026.0,32210511.5000,4589,3.5227,res_total,2016,port hueneme,,21684.0,1485.4506,usage_bld_kwh,,,,,,,,,,,,,,"port hueneme, CA",,Port Hueneme,Ventura County,,34.1477829,-119.1951074
cities_107,3316638.0,11402336.5000,4596,3.3009,single_family,2016,port hueneme,,,,usage_bld_kwh,,,,,,,,,,,,,,"port hueneme, CA",,Port Hueneme,Ventura County,,34.1477829,-119.1951074
cities_107,0.0,masked,masked,masked,uncat,2016,port hueneme,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"port hueneme, CA",,Port Hueneme,Ventura County,,34.1477829,-119.1951074
cities_108,4501.0,masked,masked,masked,agriculture,2016,oxnard,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"oxnard, CA",,Oxnard,Ventura County,,34.1976816,-119.1774639
cities_108,6642182.0,192869078.5000,48003.5,13.2935,commercial,2016,oxnard,,,,usage_bld_kwh,,,,,,,,,,,,,,"oxnard, CA",,Oxnard,Ventura County,,34.1976816,-119.1774639
cities_108,9791824.0,33894386.5000,4332,2.9333,condo,2016,oxnard,,,,usage_bld_kwh,,,,,,,,,,,,,,"oxnard, CA",,Oxnard,Ventura County,,34.1976816,-119.1774639
cities_108,13553038.0,296935752.0000,42188,3.6997,industrial,2016,oxnard,,,,usage_bld_kwh,,,,,,,,,,,,,,"oxnard, CA",,Oxnard,Ventura County,,34.1976816,-119.1774639
cities_108,828717.0,masked,masked,masked,institutional,2016,oxnard,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"oxnard, CA",,Oxnard,Ventura County,,34.1976816,-119.1774639
cities_108,10764456.0,47160530.5000,10216.5,3.6394,multi_family,2016,oxnard,,,,usage_bld_kwh,,,,,,,,,,,,,,"oxnard, CA",,Oxnard,Ventura County,,34.1976816,-119.1774639
cities_108,339905.0,33378499.0000,5667,,other,2016,oxnard,,,,usage_bld_kwh,,,,,,,,,,,,,,"oxnard, CA",,Oxnard,Ventura County,,34.1976816,-119.1774639
cities_108,403195.0,7759950.0000,3823,2.2684,residential_other,2016,oxnard,,,,usage_bld_kwh,,,,,,,,,,,,,,"oxnard, CA",,Oxnard,Ventura County,,34.1976816,-119.1774639
cities_108,0.0,7112882.0000,,,residential_uncat,2016,oxnard,,,,usage_bld_kwh,,,,,,,,,,,,,,"oxnard, CA",,Oxnard,Ventura County,,34.1976816,-119.1774639
cities_108,68406061.0,242540119.0000,5006,3.0351,res_total,2016,oxnard,,186913.0,1297.6097,usage_bld_kwh,,,,,,,,,,,,,,"oxnard, CA",,Oxnard,Ventura County,,34.1976816,-119.1774639
cities_108,47446586.0,146612370.0000,5038,3.0228,single_family,2016,oxnard,,,,usage_bld_kwh,,,,,,,,,,,,,,"oxnard, CA",,Oxnard,Ventura County,,34.1976816,-119.1774639
cities_108,0.0,690042.0000,,,uncat,2016,oxnard,,,,usage_bld_kwh,,,,,,,,,,,,,,"oxnard, CA",,Oxnard,Ventura County,,34.1976816,-119.1774639
cities_109,9817.0,masked,masked,masked,agriculture,2016,san buenaventura,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"san buenaventura, CA",,Ventura,Ventura County,,34.2808409,-119.2931259
cities_109,7594535.0,178649376.5000,37978.5,9.8987,commercial,2016,san buenaventura,,,,usage_bld_kwh,,,,,,,,,,,,,,"san buenaventura, CA",,Ventura,Ventura County,,34.2808409,-119.2931259
cities_109,5004096.0,19326813.5000,4050,3.1922,condo,2016,san buenaventura,,,,usage_bld_kwh,,,,,,,,,,,,,,"san buenaventura, CA",,Ventura,Ventura County,,34.2808409,-119.2931259
