geo_id,name,pop,pop_sqmi,med_income,pct_own,pct_rent,year,enviroscreen_tracts,sqmi,solar_pot,net_solar_pot,count
neighborhoods_186,lakewood,80277,5806.73833,79659.25,1.132365083,0.282931772,2010,2,13.82480068,285733016.3,-8888,24358
neighborhoods_187,la mirada,48447,4245.649897,75354,1.164700266,0.20964332,2010,2,11.41097386,455532112.5,-8888,14308
neighborhoods_188,lancaster,155083,1021.261697,58744,0.983867558,0.405890562,2010,0,151.8543195,1271564138,-8888,53228
neighborhoods_189,la puente,40279,7913.503174,58027,0.688352904,0.375965302,2010,6,5.089907607,144000491.3,-8888,7675
neighborhoods_190,larchmont,9195,12937.44514,49412.75,0.335320417,0.695081967,2010,0,0.710727651,23195947.5,-8888,1642
neighborhoods_191,la verne,31180,2486.341356,70168.5,1.061392629,0.258504607,2010,0,12.54051457,272723640,-8888,9896
neighborhoods_192,lawndale,32511,11352.98773,61830.25,0.503956685,0.655976676,2010,3,2.863651471,97377273.75,-8888,5913
neighborhoods_193,leimert park,12387,7119.12166,45470,0.711908768,0.538418396,2010,3,1.739961837,41023425,-8888,3605
neighborhoods_194,lennox,22950,14800.77471,37857.25,0.349977708,0.695051271,2010,5,1.55059451,50650687.5,-8888,2462
neighborhoods_196,lincoln heights,28267,7705.925165,31051,0.347594262,0.762599975,2010,6,3.668216261,116342366.3,-8888,4162
neighborhoods_197,littlerock,1384,516.897897,47960.5,0.711538462,0.283653846,2010,0,2.677511377,18001807.5,-8888,715
neighborhoods_198,lomita,19986,7182.078845,64136.75,0.549590422,0.530938878,2010,0,2.78275976,74224908.75,-8888,5085
neighborhoods_199,long beach,463166,6122.956264,58419,0.737796246,0.582289912,2010,55,75.64417906,1559258366,-8888,106726
neighborhoods_201,los feliz,32590,8545.150913,63685.75,0.350217162,0.759478812,2010,3,3.813858916,95913907.5,-8888,6556
neighborhoods_202,lynwood,69117,9687.443212,44413,0.714864401,0.529419842,2010,11,7.134699888,191561291.3,-8888,10540
neighborhoods_203,malibu,12514,431.0392809,115662,0.719949495,0.280050505,2010,0,29.03215682,94147140,-8888,7020
