geo_id,sqft,usage,usage_med,usage_med_sqft,usetype,year,name,solar_potential,pop,usage_percap
cities_11,NA,NA,NA,NA,other,2016,cerritos,NA,NA,NA
cities_11,NA,NA,NA,NA,residential_other,2016,cerritos,NA,NA,NA
cities_11,NA,NA,NA,NA,residential_uncat,2016,cerritos,NA,NA,NA
cities_11,NA,NA,NA,NA,res_total,2016,cerritos,NA,49732,NA
cities_11,NA,NA,NA,NA,single_family,2016,cerritos,NA,NA,NA
cities_11,NA,NA,NA,NA,uncat,2016,cerritos,NA,NA,NA
cities_110,NA,NA,NA,NA,agriculture,2016,adelanto,NA,NA,NA
cities_110,982402,14899840.0000,30449.5,8.4262,commercial,2016,adelanto,NA,NA,NA
cities_110,NA,NA,NA,NA,condo,2016,adelanto,NA,NA,NA
cities_110,1738102,masked,masked,masked,industrial,2016,adelanto,NA,NA,masked
cities_110,50907,masked,masked,masked,institutional,2016,adelanto,NA,NA,masked
cities_110,1185041,6836340.0000,11949,5.6854,multi_family,2016,adelanto,NA,NA,NA
cities_110,13466,masked,masked,masked,other,2016,adelanto,NA,NA,masked
cities_110,333753,masked,masked,masked,residential_other,2016,adelanto,NA,NA,masked
cities_110,0,masked,masked,masked,residential_uncat,2016,adelanto,NA,NA,masked
cities_110,12831639,65453481.5000,7223.5,4.6130,res_total,2016,adelanto,NA,29281,2235.3568
cities_110,11312845,54408834.5000,7206.5,4.5448,single_family,2016,adelanto,NA,NA,NA
cities_110,0,masked,masked,masked,uncat,2016,adelanto,NA,NA,masked
cities_111,11907,masked,masked,masked,agriculture,2016,apple valley,NA,NA,masked
cities_111,3929570,77476892.0000,52640,10.8189,commercial,2016,apple valley,NA,NA,NA
cities_111,4412012,17325023.0000,5793,3.6285,condo,2016,apple valley,NA,NA,NA
cities_111,432516,masked,masked,masked,industrial,2016,apple valley,NA,NA,masked
cities_111,116786,masked,masked,masked,institutional,2016,apple valley,NA,NA,masked
cities_111,3277941,21169997.0000,19188,6.3644,multi_family,2016,apple valley,NA,NA,NA
cities_111,9013,1310341.0000,2511,NA,other,2016,apple valley,NA,NA,NA
cities_111,1565720,13119942.0000,6761,NA,residential_other,2016,apple valley,NA,NA,NA
cities_111,0,1591938.3333,NA,NA,residential_uncat,2016,apple valley,NA,NA,NA
cities_111,43260550,211092326.4167,8028,4.3566,res_total,2016,apple valley,NA,67548,3125.0715
cities_111,34004877,157885426.0833,8219,4.3879,single_family,2016,apple valley,NA,NA,NA
cities_111,0,masked,masked,masked,uncat,2016,apple valley,NA,NA,masked
cities_112,4236,masked,masked,masked,agriculture,2016,barstow,NA,NA,masked
cities_112,3393197,65583424.5000,30356.5,11.0214,commercial,2016,barstow,NA,NA,NA
cities_112,5860,805941.0000,166672,133.9807,condo,2016,barstow,NA,NA,NA
cities_112,386228,masked,masked,masked,industrial,2016,barstow,NA,NA,masked
cities_112,245765,masked,masked,masked,institutional,2016,barstow,NA,NA,masked
cities_112,1854613,12756439.5000,9456,5.9270,multi_family,2016,barstow,NA,NA,NA
cities_112,50321,masked,masked,masked,other,2016,barstow,NA,NA,masked
cities_112,158938,5600588.0000,7302,NA,residential_other,2016,barstow,NA,NA,NA
cities_112,0,928088.6667,NA,NA,residential_uncat,2016,barstow,NA,NA,NA
cities_112,8309975,53763143.6667,6787,5.1873,res_total,2016,barstow,NA,24231,2218.7753
cities_112,6290564,33672086.5000,6635.5,5.0744,single_family,2016,barstow,NA,NA,NA
cities_112,0,masked,masked,masked,uncat,2016,barstow,NA,NA,masked
cities_113,NA,NA,NA,NA,agriculture,2016,big bear lake,NA,NA,NA
cities_113,NA,NA,NA,NA,commercial,2016,big bear lake,NA,NA,NA
